Бренд и Юрлицо (!),Веб-сайт,ИНН,МOEX,Регион,"Устойчивое развитие, Социальная отчетность, ESG",Экология,"Забота о потребителях, защита прав потребителей ","Забота о работниках, социальные программы","Поставщикам, Закупки","Корпоративное управление, совет директоров, высший менеджмент","Миссия, ценности",Этический кодекс,Антикоррупция,Раскрытие информации,,Количесво ссылок
Адмиралтейские верфи,http://admship.ru/,7839395419,,СЗФО,нет,нет,нет,http://admship.ru/job/,http://admship.ru/purchase/,нет,http://admship.ru/about/corruption/,нет,http://admship.ru/about/corruption/,http://admship.ru/about/disclosure/,,5
Алмаз-Антей,http://www.almaz-antey.ru/,7731084175,,СЗФО,нет,нет,нет,http://www.almaz-antey.ru/kadrovaya-i-sotsialnaya-politika/,http://www.almaz-antey.ru/zakupochnaya-deyatelnost/,http://www.almaz-antey.ru/istoriya/,http://www.almaz-antey.ru/strategiya/,http://www.almaz-antey.ru/upload/corruption/%D0%9F%D1%80%D0%B0%D0%B2%D0%B8%D0%BB%D0%B0_%D0%B8_%D0%B5%D0%B4%D0%B8%D0%BD%D1%8B%D0%B5_%D0%BF%D1%80%D0%B8%D0%BD%D1%86%D0%B8%D0%BF%D1%8B_%D0%BA%D0%BE%D1%80%D0%BF%D0%BE%D1%80%D0%B0%D1%82%D0%B8%D0%B2%D0%BD%D0%BE%D0%B3%D0%BE_%D0%BF%D0%BE%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F.pdf,http://www.almaz-antey.ru/anti-corruption/,нет,,7
Армалит,https://armalit.ru/,7805148130,,СЗФО,нет,нет,нет,https://armalit.ru/about/training-center/,нет,https://armalit.ru/about/management/,нет,нет,нет,https://armalit.ru/information-disclosure/,,3
Аттика ,https://attikarus.ru/ ,7806521932,,СЗФО,нет,нет,нет,нет,https://attikarus.ru/about/suppliers/,https://attikarus.ru/about/team/,https://attikarus.ru/about/history/,нет,https://attikarus.ru/anti-corruption-policy/,нет,,5
Балтийский завод,https://www.bz.ru/,7830001910,,СЗФО,нет,нет,нет,https://www.bz.ru/career/social-policy/,https://www.bz.ru/partners/purchases/,https://www.bz.ru/about/ceo/,нет,нет,https://www.bz.ru/protivodeystvie-korruptsii/,https://www.bz.ru/partners/disclosure-of-information/,,5
Бронка Групп,https://www.bronkagroup.ru/,7826136939,,СЗФО,нет,https://www.bronkagroup.ru/about/sotsialnaya-otvetsvennost/,нет,https://www.bronkagroup.ru/career/,нет,https://www.bronkagroup.ru/about/bod/,https://www.bronkagroup.ru/about/about-us/,нет,нет,нет,,5
Всеволожский крановый завод,https://werker.ru/,4703097593,,СЗФО,нет,нет,нет,https://werker.ru/about/vacancy/,нет,нет,https://werker.ru/about/,нет,нет,нет,,3
Гидроприбор,https://www.gidropribor.ru/,7802375889,,СЗФО,нет,нет,нет,https://www.gidropribor.ru/personal/korporativnaya-kultura/,https://www.gidropribor.ru/kontragents/zakupki/gidropribor-zakupki/,нет,нет,нет,https://www.gidropribor.ru/kontragents/antikorrupcionnaya-politika/,https://www.gidropribor.ru/kontragents/akcioneram/ao-kontsern-mpo-gidropribor/,,4
Гранит-Электрон,https://www.granit-electron.ru/,7842335610,,СЗФО,нет,нет,нет,https://www.granit-electron.ru/staff/corporate-employment-benefits/,https://www.granit-electron.ru/concern/general-questions/purchase/,нет,нет,нет,https://www.granit-electron.ru/concern/general-questions/documents/,нет,,4
Завод «Измерон»,https://www.izmeron.ru/,7825492691,,СЗФО,нет,нет,нет,нет,нет,https://www.izmeron.ru/company/supervisor/,нет,нет,нет,нет,,2
Императорский Фарфоровый завод,https://www.ipm.ru/,7811000276,,СЗФО,нет,нет,нет,нет,нет,нет,нет,нет,нет,https://www.ipm.ru/company/dokumenty/,,1
Кировский завод,https://kzgroup.ru/,7805019279,,СЗФО,нет,https://kzgroup.ru/companiya/,нет,https://kzgroup.ru/korporativnyy-universitet/,нет,нет,https://kzgroup.ru/,нет,нет,https://kzgroup.ru/aktsioneram-i-investoram/,,4
Корпорация морского приборостроения,https://aokmp.ru/,7813649764,,СЗФО,нет,нет,нет,нет,нет,нет,https://aokmp.ru/,нет,https://aokmp.ru/anticorruption/,нет,,3
